Transacao_ID;Cliente_Nome;Cliente_Email;Debito_Credito;Tipo_Transacao;Status;Tipo_Pagamento;Valor_Bruto;Valor_Desconto;Valor_Taxa;Valor_Liquido;Transportadora;Num_Envio;Data_Transacao;Data_Compensacao;Ref_Transacao;Parcelas;Codigo_Usuario;Codigo_Venda;Serial_Leitor;Recebimentos;Recebidos;Valor_Recebido;Valor_Tarifa_Intermediacao;Valor_Taxa_Intermediacao;Valor_Taxa_Parcelamento;Valor_Tarifa_Boleto;Bandeira_Cartao_Credito
D2F8BAC9-ED67-41E9-A798-36CDA79033E5;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;28,5500;0,0000;0,6800;27,8700;;;29/10/2018 16:50:21;30/10/2018 00:00:00;;1;236115;70464;68918288;1;1;27,8700;0,0000;0,6800;0,0000;0,0000;;
97A8EC2E-5D3A-406D-8279-BCB7E630336D;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;40,4700;0,0000;1,2900;39,1800;;;29/10/2018 16:28:27;28/11/2018 00:00:00;;1;236115;389587;68918288;1;0;0,0000;0,0000;1,2900;0,0000;0,0000;Visa;
E2A32985-39FE-4A78-8757-515C457D3633;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;41,3300;0,0000;0,9900;40,3400;;;29/10/2018 16:22:23;30/10/2018 00:00:00;;1;236115;386957;68918288;1;1;40,3400;0,0000;0,9900;0,0000;0,0000;;
32DDCF9A-3F35-4219-BC1C-7DAC590FFCE7;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;36,2000;0,0000;0,8700;35,3300;;;29/10/2018 14:40:49;30/10/2018 00:00:00;;1;236115;516976;68918288;1;1;35,3300;0,0000;0,8700;0,0000;0,0000;;
72F43E58-54EC-44B5-9E30-0B67CA3997EB;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;25,8800;0,0000;0,8300;25,0500;;;29/10/2018 14:38:38;28/11/2018 00:00:00;;1;236115;332809;68918288;1;0;0,0000;0,0000;0,8300;0,0000;0,0000;Visa;
37474E25-417E-4F58-96EB-6A290F1D6BB6;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;9,1000;0,0000;0,2200;8,8800;;;29/10/2018 13:51:27;30/10/2018 00:00:00;;1;236115;997828;68918288;1;1;8,8800;0,0000;0,2200;0,0000;0,0000;;
F7E3604B-3077-411F-84E7-78E3E2058D10;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;9,0000;0,0000;0,2900;8,7100;;;29/10/2018 12:13:32;28/11/2018 00:00:00;;1;236115;605286;68918288;1;0;0,0000;0,0000;0,2900;0,0000;0,0000;MasterCard;
CBF34B2F-ADF4-4A9C-947F-C7061374F5FC;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;32,4600;0,0000;0,7800;31,6800;;;28/10/2018 11:55:14;29/10/2018 00:00:00;;1;236115;834260;68918288;1;1;31,6800;0,0000;0,7800;0,0000;0,0000;;
012FFBB7-294D-4771-BB08-2605E827D7D3;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;80,5700;0,0000;2,5700;78,0000;;;28/10/2018 11:50:30;27/11/2018 00:00:00;;1;236115;448061;68918288;1;0;0,0000;0,0000;2,5700;0,0000;0,0000;MasterCard;
A403F29A-3F69-4F69-9F9B-08F1EC4F27C0;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;8,6600;0,0000;0,2100;8,4500;;;28/10/2018 11:46:22;29/10/2018 00:00:00;;1;236115;445301;68918288;1;1;8,4500;0,0000;0,2100;0,0000;0,0000;;
